"claim_id","probabilities"
65469,0.004
65470,0.01
65471,0.008
65472,0.002
65473,0.01
65474,0
65475,0.008
65476,0.018
65477,0
65478,0.028
65479,0.006
65480,0.012
65481,0.034
65482,0
65483,0
65484,0
65485,0.02
65486,0.012
65487,0.048
65488,0.002
65489,0.006
65490,0.014
65491,0
65492,0.006
65493,0.002
65494,0.01
65495,0.188
65496,0.01
65497,0.01
65498,0
65499,0.014
65500,0.064
65501,0.012
65502,0.004
65503,0.01
65504,0.008
65505,0.022
65506,0.014
65507,0
65508,0.026
65509,0.006
65510,0
65511,0.008
65512,0.012
65513,0.072
65514,0
65515,0.066
65516,0.06
65517,0.004
65518,0.032
65519,0.008
65520,0.004
65521,0.002
65522,0.052
65523,0.002
65524,0.018
65525,0.016
65526,0.008
65527,0.012
65528,0.018
65529,0.004
65530,0.028
65531,0.002
65532,0.006
65533,0.022
65534,0.01
65535,0.032
65536,0
65537,0
65538,0.014
65539,0
65540,0.01
65541,0.042
65542,0
65543,0
65544,0.004
65545,0.026
65546,0.002
65547,0.002
65548,0.006
65549,0.002
65550,0
65551,0.006
65552,0
65553,0.024
65554,0.006
65555,0.012
65556,0.016
65557,0.206
65558,0.002
65559,0.014
65560,0.004
65561,0.028
65562,0
65563,0
65564,0.004
65565,0.012
65566,0.01
65567,0.002
65568,0.164
65569,0.02
65570,0.012
65571,0.006
65572,0.028
65573,0.01
65574,0.01
65575,0.008
65576,0.014
65577,0.032
65578,0.012
65579,0.006
65580,0.034
65581,0.008
65582,0.016
65583,0.002
65584,0
65585,0.008
65586,0.004
65587,0.004
65588,0.006
65589,0.004
65590,0.008
65591,0.02
65592,0.004
65593,0.006
65594,0.004
65595,0
65596,0.002
65597,0.032
65598,0.004
65599,0
65600,0
65601,0.002
65602,0.018
65603,0.01
65604,0.002
65605,0.012
65606,0.002
65607,0.004
65608,0.032
65609,0
65610,0.018
65611,0.016
65612,0
65613,0.012
65614,0
65615,0.002
65616,0.012
65617,0.004
65618,0.006
65619,0
65620,0.008
65621,0.004
65622,0.006
65623,0.002
65624,0.008
65625,0.02
65626,0.002
65627,0.008
65628,0.002
65629,0.002
65630,0.004
65631,0.01
65632,0
65633,0.022
65634,0
65635,0.002
65636,0.016
65637,0.026
65638,0.022
65639,0.002
65640,0.038
65641,0.004
65642,0
65643,0.014
65644,0
65645,0.002
65646,0.042
65647,0.016
65648,0.016
65649,0.002
65650,0.006
65651,0.01
65652,0.02
65653,0.012
65654,0.002
65655,0.008
65656,0.01
65657,0.008
65658,0.012
65659,0
65660,0.002
65661,0.006
65662,0.026
65663,0.02
65664,0
65665,0.006
65666,0.03
65667,0.002
65668,0.004
65669,0.006
65670,0
65671,0.006
65672,0.006
65673,0.01
65674,0.02
65675,0.014
65676,0.002
65677,0.004
65678,0.012
65679,0.002
65680,0.002
65681,0
65682,0
65683,0
65684,0.008
65685,0.002
65686,0.006
65687,0.024
65688,0
65689,0
65690,0
65691,0.008
65692,0.002
65693,0
65694,0.012
65695,0.01
65696,0
65697,0.002
65698,0.018
65699,0.008
65700,0.01
65701,0
65702,0.004
65703,0.004
65704,0.006
65705,0.014
65706,0.004
65707,0.004
65708,0.018
65709,0.012
65710,0.264
65711,0
65712,0.01
65713,0.016
65714,0.038
65715,0.002
65716,0.162
65717,0.042
65718,0.002
65719,0.002
65720,0.054
65721,0.02
65722,0.014
65723,0.004
65724,0.002
65725,0.01
65726,0.08
65727,0.002
65728,0.01
65729,0
65730,0.01
65731,0.01
65732,0
65733,0
65734,0
65735,0.04
65736,0
65737,0.018
65738,0.004
65739,0.238
65740,0.006
65741,0.024
65742,0.01
65743,0.002
65744,0
65745,0.01
65746,0.008
65747,0.006
65748,0.002
65749,0.006
65750,0
65751,0
65752,0
65753,0.006
65754,0.002
65755,0.012
65756,0.01
65757,0.014
65758,0
65759,0.004
65760,0.016
65761,0.008
65762,0
65763,0.014
65764,0.052
65765,0.014
65766,0.002
65767,0.034
65768,0
65769,0.074
65770,0.002
65771,0.054
65772,0.004
65773,0.002
65774,0.008
65775,0.002
65776,0.004
65777,0
65778,0.014
65779,0.044
65780,0.022
65781,0.004
65782,0.006
65783,0.024
65784,0.002
65785,0.006
65786,0.006
65787,0.056
65788,0.01
65789,0.002
65790,0.01
65791,0.006
65792,0.004
65793,0.006
65794,0.002
65795,0.022
65796,0.012
65797,0.002
65798,0.008
65799,0.036
65800,0.016
65801,0.02
65802,0
65803,0.018
65804,0.004
65805,0
65806,0.008
65807,0.002
65808,0.008
65809,0.002
65810,0.018
65811,0
65812,0.016
65813,0.02
65814,0.004
65815,0.022
65816,0.008
65817,0.054
65818,0.018
65819,0.014
65820,0.022
65821,0
65822,0.006
65823,0
65824,0
65825,0.002
65826,0.004
65827,0.022
65828,0
65829,0
65830,0.002
65831,0
65832,0.006
65833,0
65834,0.036
65835,0.002
65836,0.002
65837,0.014
65838,0.006
65839,0.002
65840,0.016
65841,0
65842,0.004
65843,0.01
65844,0.002
65845,0.002
65846,0.002
65847,0.014
65848,0.006
65849,0.016
65850,0.016
65851,0.006
65852,0.038
65853,0.05
65854,0.098
65855,0.004
65856,0.004
65857,0
65858,0.006
65859,0
65860,0.002
65861,0.034
65862,0.022
65863,0.018
65864,0.01
65865,0.022
65866,0.002
65867,0.012
65868,0.016
65869,0
65870,0.012
65871,0.02
65872,0.008
65873,0.056
65874,0.014
65875,0
65876,0.022
65877,0.004
65878,0.034
65879,0.02
65880,0.012
65881,0
65882,0.02
65883,0.006
65884,0.026
65885,0.012
65886,0.062
65887,0.01
65888,0.034
65889,0
65890,0.012
65891,0.068
65892,0.004
65893,0.004
65894,0.004
65895,0.01
65896,0.012
65897,0.004
65898,0.01
65899,0.002
65900,0.002
65901,0.002
65902,0.008
65903,0
65904,0.008
65905,0.016
65906,0
65907,0.002
65908,0.012
65909,0.004
65910,0.004
65911,0.006
65912,0.004
65913,0.008
65914,0
65915,0
65916,0.008
65917,0.002
65918,0.026
65919,0.004
65920,0.028
65921,0.002
65922,0.018
65923,0.016
65924,0.006
65925,0.022
65926,0.01
65927,0
65928,0.006
65929,0.03
65930,0.002
65931,0.018
65932,0.038
65933,0.016
65934,0.03
65935,0.002
65936,0.002
65937,0.008
65938,0.016
65939,0.004
65940,0
65941,0
65942,0.058
65943,0.004
65944,0.034
65945,0
65946,0.006
65947,0.058
65948,0
65949,0.018
65950,0.006
65951,0.034
65952,0.002
65953,0
65954,0.002
65955,0.002
65956,0.02
65957,0.002
65958,0.006
65959,0.014
65960,0.006
65961,0
65962,0
65963,0.002
65964,0
65965,0.002
65966,0.004
65967,0
65968,0.002
65969,0
65970,0.002
65971,0.002
65972,0.012
65973,0
65974,0
65975,0.004
65976,0.018
65977,0.01
65978,0
65979,0
65980,0
65981,0.006
65982,0.012
65983,0.022
65984,0.012
65985,0
65986,0.004
65987,0.008
65988,0
65989,0.004
65990,0.004
65991,0
65992,0.006
65993,0.012
65994,0.008
65995,0
65996,0.034
65997,0.02
65998,0.01
65999,0.022
66000,0.018
66001,0.012
66002,0.032
66003,0.01
66004,0.024
66005,0.03
66006,0.006
66007,0
66008,0.018
66009,0.018
66010,0.006
66011,0.012
66012,0.006
66013,0.018
66014,0.012
66015,0
66016,0.148
66017,0.044
66018,0.038
66019,0.014
66020,0.022
66021,0.444
66022,0.008
66023,0.006
66024,0.014
66025,0.014
66026,0.002
66027,0.08
66028,0.008
66029,0.04
66030,0.006
66031,0.01
66032,0.024
66033,0.002
66034,0.016
66035,0.018
66036,0
66037,0.01
66038,0.022
66039,0.006
66040,0.004
66041,0.012
66042,0.002
66043,0.01
66044,0
66045,0.01
66046,0.01
66047,0.008
66048,0.06
66049,0.04
66050,0.006
66051,0.004
66052,0.076
66053,0.01
66054,0.008
66055,0
66056,0.006
66057,0.02
66058,0.01
66059,0.002
66060,0.002
66061,0.016
66062,0.008
66063,0.004
66064,0.034
66065,0.022
66066,0.008
66067,0
66068,0
66069,0
66070,0.004
66071,0.002
66072,0.002
66073,0.022
66074,0.006
66075,0.03
66076,0.008
66077,0.006
66078,0.018
66079,0
66080,0.01
66081,0.006
66082,0.002
66083,0.002
66084,0.004
66085,0.004
66086,0
66087,0.164
66088,0
66089,0.004
66090,0
66091,0
66092,0.006
66093,0
66094,0.01
66095,0.002
66096,0.012
66097,0.006
66098,0.108
66099,0.008
66100,0.004
66101,0.032
66102,0.002
66103,0.002
66104,0.058
66105,0.016
66106,0.006
66107,0.01
66108,0.012
66109,0.02
66110,0
66111,0.008
66112,0.004
66113,0.012
66114,0.044
66115,0.004
66116,0.008
66117,0.024
66118,0.052
66119,0.04
66120,0.026
66121,0
